========== OUTPUT ==========
Cloudlet ID    STATUS    Data center ID    VM ID    Time    Start Time    Finish Time    Waiting Time
3297    SUCCESS    1        7        27        1        28            0
326    SUCCESS    1        5        27        1        28            0
3323    SUCCESS    4        29        27        1        28            0
141    SUCCESS    4        35        27        1        28            0
1063    SUCCESS    5        40        27        1        28            0
3262    SUCCESS    3        21        36        1        37            0
828    SUCCESS    3        25        36        1        37            0
6450    SUCCESS    3        26        36        1        37            0
945    SUCCESS    4        33        36        1        37            0
7700    SUCCESS    4        32        36        1        37            0
5987    SUCCESS    6        49        36        1        37            0
9918    SUCCESS    5        38        45        1        46            0
4361    SUCCESS    5        44        45        1        46            0
153    SUCCESS    6        52        45        1        46            0
9009    SUCCESS    6        47        45        1        46            0
9823    SUCCESS    6        53        45        1        46            0
7734    SUCCESS    2        13        54        1        55            0
1860    SUCCESS    3        20        54        1        55            0
0    SUCCESS    1        3        63        1        64            0
223    SUCCESS    1        5        36        28        64            27
1199    SUCCESS    2        14        63        1        64            0
8189    SUCCESS    4        27        63        1        64            0
2135    SUCCESS    4        28        63        1        64            0
794    SUCCESS    5        42        63        1        64            0
1231    SUCCESS    5        41        63        1        64            0
9934    SUCCESS    6        46        63        1        64            0
3402    SUCCESS    1        0        72        1        73            0
867    SUCCESS    1        1        72        1        73            0
61    SUCCESS    1        4        72        1        73            0
7406    SUCCESS    1        2        72        1        73            0
7898    SUCCESS    2        11        72        1        73            0
612    SUCCESS    3        23        72        1        73            0
7584    SUCCESS    3        26        36        37        73            36
3434    SUCCESS    4        32        36        37        73            36
1573    SUCCESS    1        8        81        1        82            0
6544    SUCCESS    2        17        81        1        82            0
1858    SUCCESS    3        19        81        1        82            0
1651    SUCCESS    4        33        45        37        82            36
947    SUCCESS    4        29        54        28        82            27
362    SUCCESS    5        43        81        1        82            0
8143    SUCCESS    5        44        36        46        82            45
3451    SUCCESS    6        48        81        1        82            0
8259    SUCCESS    6        50        81        1        82            0
9931    SUCCESS    6        53        36        46        82            45
4215    SUCCESS    1        7        63        28        91            27
879    SUCCESS    2        15        90        1        91            0
6115    SUCCESS    2        10        90        1        91            0
346    SUCCESS    3        22        90        1        91            0
619    SUCCESS    3        25        54        37        91            36
5860    SUCCESS    4        30        90        1        91            0
5442    SUCCESS    5        36        90        1        91            0
9875    SUCCESS    6        45        90        1        91            0
7672    SUCCESS    1        8        18        82        1,00            81
5630    SUCCESS    2        9        99        1        1,00            0
3360    SUCCESS    2        16        99        1        1,00            0
1536    SUCCESS    3        20        45        55        1,00            54
3220    SUCCESS    4        31        99        1        1,00            0
568    SUCCESS    4        35        72        28        1,00            27
8947    SUCCESS    5        40        72        28        1,00            27
1827    SUCCESS    6        47        54        46        1,00            45
386    SUCCESS    1        5        45        64        1,09            63
625    SUCCESS    4        34        1,08        1        1,09            0
528    SUCCESS    5        42        45        64        1,09            63
361    SUCCESS    5        37        1,08        1        1,09            0
1658    SUCCESS    5        41        45        64        1,09            63
8683    SUCCESS    5        44        27        82        1,09            81
2546    SUCCESS    1        2        45        73        1,18            72
930    SUCCESS    2        15        27        91        1,18            90
9252    SUCCESS    3        18        1,17        1        1,18            0
4198    SUCCESS    5        39        1,17        1        1,18            0
