========== OUTPUT ==========
Cloudlet ID    STATUS    Data center ID    VM ID    Time    Start Time    Finish Time    Waiting Time
595    SUCCESS    1        0        9        1        10            0
5240    SUCCESS    1        3        9        1        10            0
596    SUCCESS    1        1        9        1        10            0
2219    SUCCESS    1        4        9        1        10            0
6432    SUCCESS    1        2        9        1        10            0
3834    SUCCESS    1        5        9        1        10            0
3900    SUCCESS    2        9        9        1        10            0
929    SUCCESS    2        12        9        1        10            0
1366    SUCCESS    2        15        9        1        10            0
4227    SUCCESS    2        13        9        1        10            0
7352    SUCCESS    2        16        9        1        10            0
3465    SUCCESS    2        11        9        1        10            0
3575    SUCCESS    2        14        9        1        10            0
1148    SUCCESS    2        17        9        1        10            0
3912    SUCCESS    3        18        9        1        10            0
134    SUCCESS    3        21        9        1        10            0
2073    SUCCESS    3        24        9        1        10            0
1047    SUCCESS    3        19        9        1        10            0
673    SUCCESS    3        22        9        1        10            0
183    SUCCESS    3        25        9        1        10            0
4338    SUCCESS    3        20        9        1        10            0
6179    SUCCESS    3        23        9        1        10            0
1963    SUCCESS    3        26        9        1        10            0
138    SUCCESS    4        27        9        1        10            0
4784    SUCCESS    4        33        9        1        10            0
139    SUCCESS    4        28        9        1        10            0
2619    SUCCESS    4        34        9        1        10            0
4347    SUCCESS    4        29        9        1        10            0
5969    SUCCESS    4        32        9        1        10            0
7367    SUCCESS    5        39        9        1        10            0
7391    SUCCESS    5        42        9        1        10            0
6249    SUCCESS    5        37        9        1        10            0
38    SUCCESS    5        38        9        1        10            0
6468    SUCCESS    5        41        9        1        10            0
7285    SUCCESS    6        45        9        1        10            0
911    SUCCESS    6        46        9        1        10            0
5662    SUCCESS    6        49        9        1        10            0
215    SUCCESS    6        47        9        1        10            0
4048    SUCCESS    6        50        9        1        10            0
3624    SUCCESS    1        3        9        10        19            9
2597    SUCCESS    1        4        9        10        19            9
6324    SUCCESS    1        2        9        10        19            9
5515    SUCCESS    1        5        9        10        19            9
5520    SUCCESS    2        9        9        10        19            9
7384    SUCCESS    2        12        9        10        19            9
7193    SUCCESS    2        15        9        10        19            9
5686    SUCCESS    2        13        9        10        19            9
2282    SUCCESS    2        16        9        10        19            9
4280    SUCCESS    2        14        9        10        19            9
2927    SUCCESS    2        17        9        10        19            9
5912    SUCCESS    3        18        9        10        19            9
1156    SUCCESS    3        21        9        10        19            9
4561    SUCCESS    3        24        9        10        19            9
5856    SUCCESS    3        22        9        10        19            9
5526    SUCCESS    3        25        9        10        19            9
4878    SUCCESS    3        20        9        10        19            9
936    SUCCESS    3        23        9        10        19            9
2072    SUCCESS    3        26        9        10        19            9
1705    SUCCESS    4        27        9        10        19            9
2135    SUCCESS    4        28        9        10        19            9
787    SUCCESS    4        31        18        1        19            0
1701    SUCCESS    4        34        9        10        19            9
5589    SUCCESS    4        29        9        10        19            9
5807    SUCCESS    4        32        9        10        19            9
5007    SUCCESS    5        37        9        10        19            9
2360    SUCCESS    5        38        9        10        19            9
1230    SUCCESS    5        41        9        10        19            9
2209    SUCCESS    6        45        9        10        19            9
6639    SUCCESS    6        48        18        1        19            0
755    SUCCESS    6        51        18        1        19            0
3880    SUCCESS    6        49        9        10        19            9
4856    SUCCESS    6        47        9        10        19            9
7234    SUCCESS    6        50        9        10        19            9
2814    SUCCESS    1        3        9        19        28            18
2165    SUCCESS    1        4        9        19        28            18
2647    SUCCESS    1        2        9        19        28            18
1892    SUCCESS    1        5        9        19        28            18
1583    SUCCESS    2        9        9        19        28            18
4119    SUCCESS    2        13        9        19        28            18
1796    SUCCESS    2        16        9        19        28            18
3574    SUCCESS    2        14        9        19        28            18
4182    SUCCESS    3        18        9        19        28            18
1857    SUCCESS    3        24        9        19        28            18
2615    SUCCESS    3        19        18        10        28            9
1213    SUCCESS    3        22        9        19        28            18
5418    SUCCESS    3        25        9        19        28            18
3692    SUCCESS    3        20        9        19        28            18
1104    SUCCESS    3        26        9        19        28            18
5374    SUCCESS    4        27        9        19        28            18
301    SUCCESS    4        28        9        19        28            18
7383    SUCCESS    4        34        9        19        28            18
5805    SUCCESS    4        29        9        19        28            18
957    SUCCESS    5        37        9        19        28            18
798    SUCCESS    5        41        9        19        28            18
699    SUCCESS    6        51        9        19        28            18
2206    SUCCESS    6        49        9        19        28            18
2588    SUCCESS    6        47        9        19        28            18
5506    SUCCESS    6        50        9        19        28            18
6212    SUCCESS    1        3        9        28        37            27
548    SUCCESS    1        4        9        28        37            27
5028    SUCCESS    1        2        9        28        37            27
4813    SUCCESS    1        5        9        28        37            27
2283    SUCCESS    2        16        9        28        37            27
6764    SUCCESS    2        14        9        28        37            27
3859    SUCCESS    3        24        9        28        37            27
2831    SUCCESS    3        19        9        28        37            27
2023    SUCCESS    3        22        9        28        37            27
4392    SUCCESS    3        20        9        28        37            27
2449    SUCCESS    3        26        9        28        37            27
1707    SUCCESS    4        27        9        28        37            27
1596    SUCCESS    4        28        9        28        37            27
2295    SUCCESS    4        34        9        28        37            27
4575    SUCCESS    5        37        9        28        37            27
5171    SUCCESS    5        40        36        1        37            0
3444    SUCCESS    5        41        9        28        37            27
2911    SUCCESS    6        45        18        19        37            18
6634    SUCCESS    6        49        9        28        37            27
4748    SUCCESS    6        47        9        28        37            27
7184    SUCCESS    1        3        9        37        46            36
2705    SUCCESS    1        4        9        37        46            36
5245    SUCCESS    1        5        9        37        46            36
2552    SUCCESS    2        16        9        37        46            36
993    SUCCESS    3        19        9        37        46            36
2778    SUCCESS    3        22        9        37        46            36
402    SUCCESS    3        23        27        19        46            18
2881    SUCCESS    3        26        9        37        46            36
7355    SUCCESS    4        27        9        37        46            36
302    SUCCESS    4        28        9        37        46            36
2469    SUCCESS    5        37        9        37        46            36
685    SUCCESS    5        41        9        37        46            36
539    SUCCESS    6        45        9        37        46            36
1018    SUCCESS    6        49        9        37        46            36
2534    SUCCESS    6        47        9        37        46            36
7242    SUCCESS    1        3        9        46        55            45
2381    SUCCESS    1        4        9        46        55            45
2229    SUCCESS    2        16        9        46        55            45
7088    SUCCESS    2        14        18        37        55            36
1484    SUCCESS    3        19        9        46        55            45
7255    SUCCESS    3        22        9        46        55            45
18    SUCCESS    3        23        9        46        55            45
2125    SUCCESS    3        26        9        46        55            45
6832    SUCCESS    4        27        9        46        55            45
1163    SUCCESS    4        28        9        46        55            45
2403    SUCCESS    4        34        18        37        55            36
7219    SUCCESS    5        41        9        46        55            45
2965    SUCCESS    6        45        9        46        55            45
3884    SUCCESS    6        47        9        46        55            45
3836    SUCCESS    1        3        9        55        64            54
869    SUCCESS    1        1        54        10        64            9
116    SUCCESS    1        4        9        55        64            54
3471    SUCCESS    2        16        9        55        64            54
7196    SUCCESS    2        14        9        55        64            54
6718    SUCCESS    3        19        9        55        64            54
6341    SUCCESS    3        23        9        55        64            54
343    SUCCESS    3        26        9        55        64            54
3916    SUCCESS    4        27        9        55        64            54
